,LSOA,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6
0,Brighton and Hove 027E,773.93,547.02,451.66,491.88,626.87,554.91
1,Brighton and Hove 027F,773.74,515.46,530.63,561.07,595.32,554.72
2,Brighton and Hove 027A,763.24,620.71,525.35,410.4,700.56,557.35
3,Brighton and Hove 029E,743.65,651.63,665.27,379.75,731.48,557.49
4,Brighton and Hove 029D,665.85,664.37,663.11,313.0,744.22,570.22
5,Brighton and Hove 024C,668.13,543.26,558.43,336.65,623.12,449.12
6,Brighton and Hove 027B,719.26,594.39,609.56,400.14,674.24,500.25
7,Brighton and Hove 024B,657.69,532.82,547.99,359.51,612.68,438.68
8,Brighton and Hove 027G,715.43,457.16,472.33,532.5,537.01,496.42
9,Brighton and Hove 024E,684.45,559.08,574.25,414.52,638.93,465.43
10,Brighton and Hove 024D,665.72,484.17,499.34,405.08,564.02,446.71
11,Brighton and Hove 027C,708.62,359.21,325.75,525.68,439.06,489.6
12,Brighton and Hove 015E,760.39,298.2,340.81,577.45,378.06,541.37
13,Brighton and Hove 014E,714.01,341.9,390.56,531.07,421.75,494.99
14,Brighton and Hove 024A,550.43,421.49,436.66,380.98,501.34,331.42
15,Brighton and Hove 003C,501.42,502.44,784.38,687.22,438.13,282.4
16,Brighton and Hove 003D,400.42,582.48,855.54,586.22,393.96,181.41
17,Brighton and Hove 003E,467.72,411.6,684.8,627.29,347.29,248.71
18,Brighton and Hove 011D,458.76,454.73,603.74,463.01,452.3,239.75
19,Brighton and Hove 014D,596.97,445.7,460.87,427.52,525.55,377.96
20,Brighton and Hove 014C,574.36,435.0,530.96,454.83,508.6,355.35
21,Brighton and Hove 014A,779.28,228.78,342.0,639.15,308.64,570.95
22,Brighton and Hove 010C,731.98,181.49,382.15,663.13,261.35,523.66
23,Brighton and Hove 014B,739.23,238.53,412.76,594.89,318.39,520.22
24,Brighton and Hove 010E,690.39,205.64,409.41,621.03,284.81,471.37
